app_id,name,release_date,coming_soon,price_usd,is_free,discount_pct,developer,publisher,genres,categories,tags,platforms_win,platforms_mac,platforms_linux,recommendations,positive_reviews,negative_reviews,estimated_owners,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,release_year,release_month,estimated_owners_mid,is_free_clean,price_log,recommendations_scaled,avg_playtime_forever_scaled,dlc_count_scaled,achievements_scaled,release_year_scaled,primary_genre,total_reviews,review_score
612170,One Eyed Kutkh,2017-03-30,False,2.99,False,0,Baba Yaga Games,Baba Yaga Games,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing","Space, Adventure, Narration, Exploration, Point & Click, Mythology, Side Scroller, Puzzle, 2D, Cute",True,True,True,0,108,27,"200,000 .. 500,000",36,0,31,0,0,1,8,2017,3,350000.0,False,1.3837912309017721,-0.14184925043885277,-0.38037086135256665,-0.09984655995698968,-0.2827478276120818,-0.10393947933071283,Adventure,135,0.8
417290,Ghost of a Tale,2018-03-13,False,19.99,False,0,SeithCG,SeithCG,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing","Adventure, Stealth, Atmospheric, Cute, Singleplayer, RPG, Fantasy, Indie, Third Person, Medieval",True,False,False,4078,4498,405,"200,000 .. 500,000",572,0,332,6,0,0,20,2018,3,350000.0,False,3.0440461338325417,-0.11319374843260263,-0.21889105532357747,-0.14209042723478343,-0.18883166239311283,0.12485038049781758,Action,4903,0.9173975117275137
1284190,The Planet Crafter,2024-04-10,False,11.99,False,50,Miju Games,Miju Games,Adventure,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Family Sharing","Open World Survival Craft, Base-Building, Survival, Online Co-Op, Co-op, Building, Crafting, Open World, Exploration, Space",True,False,False,63860,52168,2148,"1,000,000 .. 2,000,000",2099,118,1587,7330,0,3,55,2024,4,1500000.0,False,2.5641798306825083,0.3068855112382275,0.24114563088214355,-0.015358825401402173,0.08509048616221325,1.497589539469,Adventure,54316,0.9604536416525518
1036890,Shadow Warrior 3: Definitive Edition,2022-03-01,False,39.99,False,0,Flying Wild Hog,Devolver Digital,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","FPS, Action, Adventure, Shooter, Arena Shooter, Beautiful, First-Person, Cinematic, Colorful, Gore",True,False,False,4684,3493,1607,"500,000 .. 1,000,000",268,0,366,4,0,0,38,2022,3,750000.0,False,3.7133281345162463,-0.10893547618743647,-0.3104766169519594,-0.14209042723478343,-0.04795741456465941,1.0400098198119392,Action,5100,0.6849019607843138
108210,Memoir '44 Online,2011-10-12,False,0.0,True,0,Days of Wonder,"Days of Wonder, Twin Sails Interactive","Casual, Simulation, Strategy","Single-player, Multi-player, Steam Achievements","Strategy, Casual, Board Game, Simulation, World War II, Tactical, Free to Play, Military, Turn-Based, Multiplayer",True,False,False,0,393,222,"200,000 .. 500,000",527,0,1039,1,0,0,62,2011,10,350000.0,True,0.0,-0.14184925043885277,-0.23244812859093664,-0.14209042723478343,0.13987491587327847,-1.4766786383018953,Casual,615,0.6390243902439025
669330,Mechabellum,2024-09-26,False,14.99,False,0,Game River,Dreamhaven,"Action, Indie, Massively Multiplayer, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing","Strategy, Mechs, Auto Battler, Robots, Wargame, Tactical, PvP, RTS, Multiplayer, Action RTS",True,True,False,17049,12973,2105,"1,000,000 .. 2,000,000",4926,597,860,1748,0,3,0,2024,9,1500000.0,False,2.771963526845863,-0.02204845257113366,1.0928311003671292,-0.015358825401402173,-0.3453586044247277,1.497589539469,Action,15078,0.8603926250165804
544920,Darwin Project,2020-01-13,False,0.0,True,0,Scavengers Studio,Scavengers Studio,"Action, Indie, Free To Play","Multi-player, PvP, Online PvP, Full controller support, In-App Purchases","Battle Royale, Multiplayer, Survival, Action, PvP, Open World, Early Access, Indie, Co-op, Massively Multiplayer",True,False,False,1376,14978,3410,"1,000,000 .. 2,000,000",357,0,76,0,0,0,14,2020,1,1500000.0,True,0.0,-0.1321803022386075,-0.28366373871207123,-0.14209042723478343,-0.23578974500259728,0.5824301001548784,Action,18388,0.8145529693278225
743090,Defiance 2050,2018-07-10,False,0.0,False,0,Trion Worlds,Trion Worlds,"Adventure, Free To Play, Massively Multiplayer","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Full controller support, Family Sharing","Looter Shooter, Free to Play, Massively Multiplayer, Open World, Adventure, Co-op, Violent, Multiplayer, Third-Person Shooter, Shooter",True,False,False,0,1120,1167,"200,000 .. 500,000",296,0,124,0,17,0,33,2018,7,350000.0,True,0.0,-0.14184925043885277,-0.3020411046967137,-0.14209042723478343,-0.08708915007256314,0.12485038049781758,Adventure,2287,0.4897245299519021
456750,The Room Three,2018-11-13,False,5.99,False,0,Fireproof Games,Fireproof Games,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Puzzle, Mystery, Adventure, Point & Click, Indie, Atmospheric, Singleplayer, Hidden Object, Lovecraftian, Horror",True,False,False,12647,11581,501,"200,000 .. 500,000",438,0,347,46,0,0,10,2018,11,350000.0,False,1.944480556245719,-0.052980654589650844,-0.25926100683082476,-0.14209042723478343,-0.26709513340892027,0.12485038049781758,Adventure,12082,0.9585333554047343
445720,Battle Islands: Commanders,2017-02-14,False,0.0,True,0,DR Studios,505 Games,"Action, Free To Play, Strategy","Single-player, Multi-player, PvP, Online PvP, Full controller support, In-App Purchases","Free to Play, Strategy, Action, Multiplayer, World War II, War, Early Access",True,False,False,0,423,453,"200,000 .. 500,000",231,0,340,10,0,0,0,2017,2,350000.0,True,0.0,-0.14184925043885277,-0.32162354386067693,-0.14209042723478343,-0.3453586044247277,-0.10393947933071283,Action,876,0.4828767123287671
203160,Tomb Raider Game of the Year,2013-03-04,False,19.99,False,0,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Crystal Dynamics, Feral Interactive (Mac)","Action, Adventure","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Adventure, Action, Female Protagonist, Third Person, Singleplayer, Story Rich, Third-Person Shooter, Multiplayer, Exploration, Action-Adventure",True,True,False,168445,238239,9691,"5,000,000 .. 10,000,000",717,44,497,556,17,0,50,2013,3,7500000.0,False,3.0440461338325417,1.0417888161238749,-0.17520715257319794,-0.14209042723478343,0.04595875065430953,-1.0190989186448345,Action,247930,0.9609123542935506
628670,Hellpoint,2020-07-30,False,34.99,False,0,Cradle Games,tinyBuild,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV, Remote Play Together, Family Sharing","Souls-like, Sci-fi, Action, RPG, Multiplayer, Indie, Adventure, Co-op, Action RPG, Horror",True,True,True,2541,3137,1156,"200,000 .. 500,000",245,0,230,19,0,3,42,2020,7,350000.0,False,3.5832411220909393,-0.12399401978709171,-0.31740578773305406,-0.015358825401402173,-0.01665202615833643,0.5824301001548784,Action,4293,0.7307244351269508
586200,Street Fighter 30th Anniversary Collection,2018-05-29,False,29.99,False,0,Digital Eclipse,"Capcom U.S.A, Inc.",Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing","Fighting, 2D Fighter, Action, Arcade, Classic, Multiplayer, Retro, 2D, Local Multiplayer, Anime",True,False,False,2214,2132,918,"200,000 .. 500,000",1250,0,397,56,0,0,17,2018,5,350000.0,False,3.433664571799657,-0.1262918003550279,-0.014631151428699373,-0.14209042723478343,-0.21231070369785507,0.12485038049781758,Action,3050,0.6990163934426229
439350,Kritika:REBOOT,2019-11-11,False,0.0,False,0,"ALLM Co., Ltd.","ALLM Co., Ltd.","Action, Free To Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases, Family Sharing","Free to Play, Massively Multiplayer, Anime, RPG, Action, MMORPG, Nudity, Sexual Content, Hack and Slash, Open World",True,False,False,0,3478,1074,"500,000 .. 1,000,000",727,0,103,0,0,0,0,2019,11,750000.0,True,0.0,-0.14184925043885277,-0.1721944696248959,-0.14209042723478343,-0.3453586044247277,0.353640240326348,Action,4552,0.7640597539543058
540020,Final Quest II,2016-10-18,False,1.99,False,0,RPG Video,Back To Basics Gaming,"Indie, RPG","Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","Indie, RPG, RPGMaker",True,False,False,0,87,102,"200,000 .. 500,000",229,0,215,0,0,0,7,2016,10,350000.0,False,1.095273387402595,-0.14184925043885277,-0.32222608045033735,-0.14209042723478343,-0.2905741747136625,-0.33272933915924324,Indie,189,0.4603174603174603
757240,Aimtastic,2018-01-28,False,0.0,True,0,Pixel Pointer Studios,Unknown,"Action, Indie, Free To Play","Single-player, Steam Workshop, Stats, Steam Leaderboards","Free to Play, Action, FPS, Indie, Early Access, e-sports, Shooter, First-Person, Software Training",True,False,False,0,2486,166,"500,000 .. 1,000,000",167,0,33,6,0,1,3,2018,1,750000.0,True,0.0,-0.14184925043885277,-0.34090471472980993,-0.09984655995698968,-0.3218795631199855,0.12485038049781758,Action,2652,0.9374057315233786
